,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
445,2/8/18,Cactus ,WHD,Citigroup/ Credit Suisse,19.0,21.1,20.25,0.06578947368421052
447,2/8/18,Huami Corporation ,HMI,Credit Suisse/ Citigroup/ China Renaissance,11.0,12.0,11.25,0.022727272727272728
466,3/23/18,Sunlands Online Education Group ,STG,Goldman Sachs (Asia)/ J.P. Morgan/ Credit Suisse,11.5,13.1,11.1,-0.0347826086956522
472,3/29/18,iQIYI,IQ,Goldman Sachs (Asia)/ Credit Suisse/ BofA Merrill Lynch,18.0,18.2,15.55,-0.13611111111111107
476,4/19/18,GrafTech International Ltd. ,EAF,J.P. Morgan/ Credit Suisse,10.0,10.1,10.12,0.011999999999999922
494,5/11/18,HUYA ,HUYA,Credit Suisse/ Goldman Sachs (Asia)/ UBS Investment Bank,12.0,15.5,16.06,0.3383333333333332
530,6/28/18,BrightView Holdings ,BV,Goldman Sachs/ J.P. Morgan/ KKR/ UBS Investment Bank/ Baird/ Credit Suisse/ Macquarie Capital/ Jefferies/ Mizuho Securities/ Morgan Stanley/ RBC Capital Markets,22.0,21.25,21.4,-0.027272727272727337
534,6/28/18,Forty Seven ,FTSV,Morgan Stanley/ Credit Suisse,16.0,15.01,15.05,-0.059374999999999956
540,6/29/18,Domo ,DOMO,Morgan Stanley/ Allen & Company/ Credit Suisse/ UBS Securities,21.0,23.8,27.3,0.30000000000000004
554,7/25/18,Aurora Mobile Limited ,JG,Goldman Sachs (Asia)/ Credit Suisse/ Deutsche Bank Securities,8.5,9.0,8.8,0.035294117647058906
558,7/26/18,Pinduoduo ,PDD,Credit Suisse/ Goldman Sachs (Asia)/ CICC,19.0,26.5,26.7,0.4052631578947368
562,7/27/18,Endava ,DAVA,Morgan Stanley/ Citigroup/ Credit Suisse/ Deutsche Bank Securities,20.0,25.0,25.2,0.25999999999999995
594,9/26/18,Entasis Therapeutics Holding ,ETTX,Credit Suisse/ BMO Capital Markets,15.0,13.45,10.66,-0.28933333333333333
602,9/28/18,CooTek ,CTK,Credit Suisse/ BofA Merrill Lych/ Citigroup,12.0,11.5,9.44,-0.21333333333333337
613,10/11/18,Livent ,LTHM,BofA Merrill Lynch/ Goldman Sach/ Credit Suisse,17.0,16.25,16.97,-0.001764705882353008
621,10/18/18,Studio City International Holdings ,MSC,Deutsche Bank Securities/ Credit Suisse/ Morgan Stanley,12.5,16.5,15.5,0.24
623,10/19/18,Niu Technologies ,NIU,Credit Suisse/ Citigroup,9.0,8.5,8.65,-0.03888888888888885
624,10/19/18,SolarWinds ,SWI,Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Credit Suisse,15.0,15.3,15.03,0.0019999999999999575
644,12/6/18,MOGU ,MOGU,Morgan Stanley/ Credit Suisse/ China Renaissance Securities,14.0,12.0,14.0,0.0
656,1/26/17,AnaptysBio ,ANAB,Credit Suisse/ Stifel,15.0,16.0,17.0,0.13333333333333333
